backbone,method,condition,seed,auc
siglip2-base,sar,brightness_2,2024,0.7894822423081495
siglip2-base,sar,brightness_3,2024,0.7947374997050365
siglip2-base,sar,brightness_4,2024,0.7866659910727672
siglip2-base,sar,brightness_5,2024,0.7735704746218599
siglip2-base,sar,gaussian_noise_1,2024,0.5319236310059812
siglip2-base,sar,gaussian_noise_2,2024,0.5559158461887591
siglip2-base,sar,gaussian_noise_3,2024,0.564014501821255
siglip2-base,sar,gaussian_noise_4,2024,0.600139425800182
siglip2-base,sar,gaussian_noise_5,2024,0.6341711553227971
siglip2-base,sar,jpeg_compression_1,2024,0.3914023502983626
siglip2-base,sar,jpeg_compression_2,2024,0.4077585206293205
siglip2-base,sar,jpeg_compression_3,2024,0.37922909513559167
siglip2-base,sar,jpeg_compression_4,2024,0.3696077338985918
siglip2-base,sar,jpeg_compression_5,2024,0.38107189423454746
